reference_genome	pangolin_lineage	WHO_label
hCoV-19/USA/GA-CDC-4494422-001/2022	BA.1	Omicron_BA.1
hCoV-19/USA/GA-CDC-MMB13924493/2022	BA.1.1	Omicron_BA.1
hCoV-19/USA/GA-ROAPS-0887/2022	BA.1.1	Omicron_BA.1
hCoV-19/USA/GA-BIE-LSUH002293/2021	BA.1.1	Omicron_BA.1
hCoV-19/USA/GA-CDC-QDX32186214/2021	BA.1.1	Omicron_BA.1
hCoV-19/USA/GA-EHC-3701I/2022	BA.1.1.18	Omicron_BA.1
hCoV-19/USA/GA-CDC-LC0550476/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0565154/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4232T/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4238Z/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-ASC210724882/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4264Z/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0578214/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0576853/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0582077/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0593110/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0593171/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0592772/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0592804/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4278N/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4279O/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4351I/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4359Q/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0598699/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0600119/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4388T/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4479G/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4472Z/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4482J/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4368Z/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4374F/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4375G/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4376H/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4378J/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4379K/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4380L/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4497Y/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4501C/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4511M/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4513O/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0622865/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0623564/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0623489/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0622975/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0643116/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0643938/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0656725/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4489Q/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4516R/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4517S/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4521W/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4522X/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4529E/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4532H/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4534J/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4536L/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4533I/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-QDX36963775/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0667992/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0668647/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673382/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673560/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0678789/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0684305/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0678868/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0683274/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4589M/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4592P/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4605C/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4564N/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4565O/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4541Q/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4577A/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0695180/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0703080/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4636H/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4553C/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4784Z/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4827Q/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4828R/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4829S/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4837A/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4841E/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4861Y/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4657C/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4658D/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4663I/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4869G/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4944D/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4666L/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4984R/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-4999G/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-GPHL-2005/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0806528/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ASC-210768365/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ASC-210843428/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-5210J/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-5249W/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-5635C/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-EHC-6604N/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0878/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0881/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0882/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0885/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0888/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0897/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0899/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0901/2022	BA.2	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0540786/2022	BA.2.10	Omicron_BA.2
hCoV-19/USA/GA-EHC-4263Y/2022	BA.2.10	Omicron_BA.2
hCoV-19/USA/GA-ROAPS-0871/2022	BA.2.10	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0567443/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0576082/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0593143/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-Stanford-74_S29/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4350H/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4356N/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4358P/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0606592/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0611571/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4476D/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4392X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4487O/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4386R/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4480H/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4474B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4366X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4367Y/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4371C/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4377I/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4505G/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4507I/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4509K/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4512N/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4515Q/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4506H/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0622734/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0622720/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0625416/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0629019/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0643205/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0656349/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0657279/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0661816/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0661819/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4491S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4525A/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4528D/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4531G/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4527C/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4535K/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0665365/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0648025/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0668645/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0668560/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0669041/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0669659/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0677024/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0677135/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673371/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673393/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673383/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673673/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673652/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0673653/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0687157/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0679681/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4585I/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4588L/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4593Q/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4594R/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4595S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4596T/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4597U/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4598V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4600X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4604B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4607E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4612J/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4617O/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4591O/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4555E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4556F/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4557G/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4558H/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4561K/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4562L/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4563M/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4566P/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4567Q/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4568R/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4570T/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4572V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4573W/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4574X/2022	BA.2.12.1	Omicron_BA.2
